,Unnamed: 0,ticker,option_symbol,expiry,strike,type,is_itm,entry_range,ask,model_prob,tp_target,sl_target,impliedVolatility,kelly_fraction,expected_profit,run_timestamp,iv,volatility_regime
35,35,SPY,SPY260120P00688000,2026-01-20,688.0,put,False,$0.83 - $0.85,0.85,0.695,628.5725725920611,0.6050113860089391,0.0888152642822265,0.3458403553809344,0.2186082355614192,2026-01-18 23:16:55.682196,,
36,36,SPY,SPY260120P00689000,2026-01-20,689.0,put,False,$1.04 - $1.05,1.05,0.7,629.6176635161761,0.999967663960227,0.0849090533447265,0.4708354013927278,0.5199069574242186,2026-01-18 23:16:55.682196,,
37,37,SPY,SPY260120P00690000,2026-01-20,690.0,put,False,$1.30 - $1.32,1.32,0.71,630.6669783458178,1.5605424506284291,0.0817962915039062,0.5060966214954495,0.8449661434315697,2026-01-18 23:16:55.682196,,
38,38,SPY,SPY260120P00691000,2026-01-20,691.0,put,False,$1.61 - $1.62,1.62,0.73,631.7199644925961,2.2645626259377596,0.0772797351074218,0.5199514245813734,1.1926167776999097,2026-01-18 23:16:55.682196,,
39,39,SPY,SPY260120P00692000,2026-01-20,692.0,put,True,$2.02 - $2.03,2.03,0.75,632.7773373181499,3.096710236938674,0.0741669732666015,0.5195549950239107,1.4570590844840974,2026-01-18 23:16:55.682196,,
40,40,SPY,SPY260120P00693000,2026-01-20,693.0,put,True,$2.49 - $2.55,2.55,0.765,633.8393570980965,3.994820284643472,0.0719086950683593,0.5124544736819847,1.6227086763704417,2026-01-18 23:16:55.682196,,
41,41,SPY,SPY260120P00694000,2026-01-20,694.0,put,True,$3.07 - $3.14,3.14,0.8,634.9061086439747,4.914944451714255,0.068795933227539,0.5049747691215846,1.731106254189292,2026-01-18 23:16:55.682196,,
42,42,SPY,SPY260120P00695000,2026-01-20,695.0,put,True,$3.76 - $3.83,3.83,0.82,635.9783189119571,5.842003362405736,0.0658052404785156,0.4998930763683844,1.7673819962053483,2026-01-18 23:16:55.682196,,
43,43,SPY,SPY260120P00696000,2026-01-20,696.0,put,True,$4.55 - $4.62,4.62,0.84,637.0564829067308,6.781730262402707,0.063485927734375,0.5075590602433281,1.7577252003650503,2026-01-18 23:16:55.682196,,
44,44,SPY,SPY260120P00697000,2026-01-20,697.0,put,True,$5.34 - $5.53,5.53,0.875,638.1415096842667,7.716287457786694,0.0655611022949218,0.5393706818643226,1.7150313511593804,2026-01-18 23:16:55.682196,,
45,45,SPY,SPY260120P00698000,2026-01-20,698.0,put,True,$6.29 - $6.47,6.47,0.9,639.23146272699,8.647064175030419,0.0678804150390625,0.5989950766748193,1.7064216462433046,2026-01-18 23:16:55.682196,,
46,46,SPY,SPY260120P00699000,2026-01-20,699.0,put,True,$7.28 - $7.47,7.47,0.915,640.3258365316764,9.574444812491732,0.0759369750976562,0.6344487970038541,1.663058741398704,2026-01-18 23:16:55.682196,,
47,47,SPY,SPY260120P00700000,2026-01-20,700.0,put,True,$8.29 - $8.47,8.47,0.92,641.4221324058094,10.500348419939728,0.08399353515625,0.7223618648522894,1.8546672772621569,2026-01-18 23:16:55.682196,,
93,93,SPY,SPY260121P00685000,2026-01-21,685.0,put,False,$0.85 - $0.86,0.86,0.645,625.5256954801218,0.3301863246338834,0.1086514916992187,0.0530616770305315,0.0248525789325315,2026-01-18 23:16:55.682196,,
94,94,SPY,SPY260121P00686000,2026-01-21,686.0,put,False,$1.00 - $1.01,1.01,0.665,626.5648347080978,0.4889363062122269,0.1055997644042968,0.2501835884039592,0.180535810118905,2026-01-18 23:16:55.682196,,
95,95,SPY,SPY260121P00687000,2026-01-21,687.0,put,False,$1.18 - $1.19,1.19,0.695,627.6066635559716,0.7124400802528107,0.1026090716552734,0.3557126759726792,0.3772895273130384,2026-01-18 23:16:55.682196,,
96,96,SPY,SPY260121P00688000,2026-01-21,688.0,put,False,$1.39 - $1.41,1.41,0.695,628.6513410394763,1.0205546195907993,0.0998625170898437,0.4098788000206713,0.6068502733824658,2026-01-18 23:16:55.682196,,
97,97,SPY,SPY260121P00689000,2026-01-21,689.0,put,False,$1.64 - $1.66,1.66,0.705,629.6987216507384,1.4219273967132018,0.0968107897949218,0.4403646242992208,0.869719703225207,2026-01-18 23:16:55.682196,,
98,98,SPY,SPY260121P00690000,2026-01-21,690.0,put,False,$1.93 - $1.94,1.94,0.735,630.7487640023143,1.925145749949896,0.093209751586914,0.4578371420009844,1.15623650671972,2026-01-18 23:16:55.682196,,
99,99,SPY,SPY260121P00691000,2026-01-21,691.0,put,False,$2.28 - $2.29,2.29,0.735,631.801954025943,2.5524082963993986,0.090280093383789,0.4642741251725937,1.4189606970641242,2026-01-18 23:16:55.682196,,
100,100,SPY,SPY260121P00692000,2026-01-21,692.0,put,True,$2.68 - $2.70,2.7,0.745,632.8580662889718,3.289267243910774,0.0874725042724609,0.4662799554578403,1.6513244181824152,2026-01-18 23:16:55.682196,,
101,101,SPY,SPY260121P00693000,2026-01-21,693.0,put,True,$3.11 - $3.22,3.22,0.75,633.9176612025435,4.127272615135765,0.0862518133544922,0.4619786965381289,1.796733352059935,2026-01-18 23:16:55.682196,,
102,102,SPY,SPY260121P00694000,2026-01-21,694.0,put,True,$3.61 - $3.75,3.75,0.77,634.9794571365325,5.02050581585955,0.083016982421875,0.4606044940604495,1.9447159330154355,2026-01-18 23:16:55.682196,,
103,103,SPY,SPY260121P00695000,2026-01-21,695.0,put,True,$4.25 - $4.38,4.38,0.78,636.0447569008999,5.9617384541571194,0.0808197387695312,0.456438889919475,2.0138389777597667,2026-01-18 23:16:55.682196,,
104,104,SPY,SPY260121P00696000,2026-01-21,696.0,put,True,$4.88 - $5.05,5.05,0.795,637.1128706054692,6.924282790829909,0.0774018041992187,0.4551275363011087,2.063866402453124,2026-01-18 23:16:55.682196,,
105,105,SPY,SPY260121P00697000,2026-01-21,697.0,put,True,$5.62 - $5.83,5.83,0.815,638.1853242557945,7.897740374977587,0.0760590441894531,0.456089167143771,2.046981232529689,2026-01-18 23:16:55.682196,,
